word	pos_tag	morph_parse	lemma	correct_form
birleştirerek	Verb	Verb+Verb+Caus+Pos+Adv+ByDoingSo	birleş	birleştirerek
birleştirmiş	Verb	Verb+Verb+Caus+Pos+Narr+A3sg	birleş	birleştirmiş
değiştirmiştir	Verb	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	değiş	değiştirmiştir
öldürdü	Verb	Verb+Verb+Caus+Pos+Past+A3sg	öl	öldürdü
öldürmek	Verb	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	öl	öldürmek
birleştirdi	Verb	Verb+Verb+Caus+Pos+Past+A3sg	birleş	birleştirdi
öldürülüyordu	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Prog1+Past+A3sg	öl	öldürülüyordu
bildirmeye	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	bil	bildirmeye
öldüren	Verb	Verb+Verb+Caus+Pos+Adj+PresPart	öl	öldüren
uğratıldı	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	uğra	uğratıldı
uğratıldı	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	uğra	uğratıldı
öldürüldü	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	öl	öldürüldü
birleştirdi	Verb	Verb+Verb+Caus+Pos+Past+A3sg	birleş	birleştirdi
birleştirmiş	Verb	Verb+Verb+Caus+Pos+Narr+A3sg	birleş	birleştirmiş
evlendirse	Verb	Verb+Verb+Caus+Pos+Desr+A3sg	evlen	evlendirse
öldürerek	Verb	Verb+Verb+Caus+Pos+Adv+ByDoingSo	öl	öldürerek
öldürüldü	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	öl	öldürüldü
öldürten	Verb	Verb+Verb+Caus+Verb+Caus+Pos+Adj+PresPart	öl	öldürten
eritilmiş	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	eri	eritilmiş
öldürüldü	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	öl	öldürüldü
ettirmiştir	Verb	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	et	ettirmiştir
nitelendirir	Verb	Verb+Verb+Caus+Pos+Aor+A3sg	nitelen	nitelendirir
gezdirilerek	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Adv+ByDoingSo	gez	gezdirilerek
birleştirmesiyle	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Ins	birleş	birleştirmesiyle
uğratmış	Verb	Verb+Verb+Caus+Pos+Narr+A3sg	uğra	uğratmış
değiştirmiştir	Verb	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	değiş	değiştirmiştir
öldürmesi	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom	öl	öldürmesi
nitelendirilmiştir	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	nitelen	nitelendirilmiştir
nitelendirilebilecek	Verb	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Fut+A3sg	nitelen	nitelendirilebilecek
tanıştıracak	Verb	Verb+Verb+Caus+Pos+Fut+A3sg	tanış	tanıştıracak
yürütür	Verb	Verb+Verb+Caus+Pos+Aor+A3sg	yürü	yürütür
yürütmeye	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	yürü	yürütmeye
yürütür	Verb	Verb+Verb+Caus+Pos+Aor+A3sg	yürü	yürütür
oluşturulur	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	oluş	oluşturulur
çıkartmak	Verb	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	çık	çıkartmak
bindirildikleri	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PastPart+P3pl	bin	bindirildikleri
öldürüldüler	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3pl	öl	öldürüldüler
öldürüldü	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	öl	öldürüldü
geliştirilmiş	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	geliş	geliştirilmiş
değiştirilebilir	Verb	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Aor+A3sg	değiş	değiştirilebilir
düzeltilmekte	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg	düzel	düzeltilmekte
geliştirilmektedir	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	geliş	geliştirilmektedir
durdurulur	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	dur	durdurulur
geliştirme	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	geliş	geliştirme
düzeltilmektedir	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	düzel	düzeltilmektedir
oynatıcı	Verb	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	oyna	oynatıcı
geliştirilmeye	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Dat	geliş	geliştirilmeye
geliştirme	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	geliş	geliştirme
oluşturmaya	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	oluş	oluşturmaya
geliştirmekte	Verb	Verb+Verb+Caus+Pos+Prog2+A3sg	geliş	geliştirmekte
doldurmasıdır	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	dol	doldurmasıdır
kapatılmış	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	kapa	kapatılmış
geliştirilmiş	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	geliş	geliştirilmiş
oluşturduğu	Verb	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	oluş	oluşturduğu
çıkarmak	Verb	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	çık	çıkarmak
başlatılmıştır	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	başla	başlatılmıştır
geliştirilmeye	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Dat	geliş	geliştirilmeye
geliştirilmesi	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	geliş	geliştirilmesi
doldurmuştur	Verb	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	dol	doldurmuştur
kapatılmış	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	kapa	kapatılmış
çıkarılamamasına	Verb	Verb+Verb+Caus+Verb+Pass+Verb+Able+Neg+Noun+Inf2+A3sg+P3sg+Dat	çık	çıkarılamamasına
geliştirilen	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	geliş	geliştirilen
oluşturdu	Verb	Verb+Verb+Caus+Pos+Past+A3sg	oluş	oluşturdu
geliştirmeler	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3pl+Pnon+Nom	geliş	geliştirmeler
oluşturulmuştur	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	oluş	oluşturulmuştur
geliştirmeye	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	geliş	geliştirmeye
geliştirilmesi	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	geliş	geliştirilmesi
geliştirmektedirler	Verb	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3pl	geliş	geliştirmektedirler
oynatıcı	Verb	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	oyna	oynatıcı
geliştirmeyi	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Acc	geliş	geliştirmeyi
geliştirilmekte	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg	geliş	geliştirilmekte
belirtilmiştir	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	belir	belirtilmiştir
karşılaştırıldığında	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Loc	karşılaş	karşılaştırıldığında
bildirdi	Verb	Verb+Verb+Caus+Pos+Past+A3sg	bil	bildirdi
gerektirir	Verb	Verb+Verb+Caus+Pos+Aor+A3sg	gerek	gerektirir
belirtir	Verb	Verb+Verb+Caus+Pos+Aor+A3sg	belir	belirtir
